,user_gender,referral_code_used,user_age,monthly_total_sell,EOP_Saham_AUM,EOP_Pasar_Uang_AUM,EOP_Pendapatan_Tetap_AUM,EOP_Campuran_AUM,EOP_total_invested_amount,EOP_profit_rate,user_vintage,predicted_score
5723,1,0,34.0,0.0,976467.0,380601.0,1612068.0,0.0,2900000.0,2.384,1.0,0.6004691084991693
5724,0,0,37.0,-30000.0,432089.0,60209.0,100320.0,0.0,569877.0,3.9905102329099087,1.0,0.760844268432229
5728,0,0,22.0,0.0,44113.0,10040.0,50342.0,0.0,100000.0,4.495,1.0,0.7040462359208459
5730,0,0,28.0,0.0,368293.0,100044.0,530309.0,0.0,1000000.0,-0.1354,0.0,0.5689293415262152
5731,0,1,23.0,0.0,2336651.0,235783.0,1386703.0,0.0,3834000.0,3.2638758476786647,1.0,0.5796453306271101
5737,0,1,24.0,0.0,243761.0,40270.0,358860.0,0.0,625000.0,2.86256,1.0,0.5628367240215905
5746,0,1,47.0,0.0,0.0,751950.0,3212212.0,0.0,3949157.0,0.3799545067466297,1.0,0.6221103722229185
5748,0,1,51.0,-150000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6008423788707988
5749,1,0,31.0,0.0,138056.0,40106.0,261057.0,0.0,430000.0,2.1439534883720928,1.0,0.5608699126522131
5756,0,0,26.0,0.0,0.0,10037.0,0.0,0.0,10000.0,0.37,1.0,0.5564309719844349
5761,0,0,21.0,0.0,250399.0,200609.0,217021.0,0.0,656000.0,1.8336890243902437,1.0,0.5918092167163986
5765,1,0,21.0,0.0,44113.0,10040.0,50342.0,0.0,100000.0,4.495,1.0,0.5999513146526162
5766,0,0,42.0,0.0,3427290.0,503484.0,1204154.0,0.0,5000000.0,2.6985599999999996,1.0,0.7465145602120807
5767,0,0,24.0,0.0,0.0,100094.0,100261.0,0.0,200000.0,0.17750000000000002,0.0,0.5548678970380169
5770,1,1,45.0,0.0,66169.0,10041.0,30205.0,0.0,100000.0,6.415000000000001,1.0,0.7273612854943973
5771,1,0,38.0,-700000.0,55141.0,10040.0,40273.0,0.0,100000.0,5.454,1.0,0.7253662173341945
5772,1,1,45.0,0.0,201681.0,20095.0,90452.0,0.0,300000.0,4.076,1.0,0.6370077598978023
5774,1,1,41.0,-25000.0,44113.0,10040.0,50342.0,0.0,100000.0,4.495,1.0,0.6303529330922317
5775,0,0,22.0,0.0,44470.0,10027.0,50131.0,0.0,100000.0,4.628,1.0,0.7089964764381657
5777,1,0,21.0,-150000.0,421023.0,70155.0,190757.0,0.0,650000.0,4.913076923076923,1.0,0.6165218185546295
5782,0,0,20.0,0.0,495302.0,140296.0,281259.0,0.0,900000.0,1.873,1.0,0.5871354647169407
5789,1,0,23.0,0.0,702283.0,90238.0,200942.0,0.0,960000.0,3.4857291666666663,1.0,0.5688885746722099
5798,1,1,83.0,0.0,972644.0,0.0,1005915.0,0.0,2000000.0,-1.0720500000000002,1.0,0.6529298656577681
5801,0,0,44.0,0.0,296352.0,70207.0,260839.0,0.0,600000.0,4.566333333333334,1.0,0.8094932145256588
5805,0,1,23.0,-60000.0,1230181.0,281371.0,1363138.0,0.0,2775000.0,3.5924324324324326,1.0,0.5947486120319263
5807,1,0,23.0,-900000.0,1585377.0,0.0,0.0,0.0,1500000.0,5.691800000000001,1.0,0.6475454120154386
5808,1,0,25.0,0.0,196274.0,220361.0,200347.0,0.0,600000.0,2.8303333333333334,1.0,0.5539759860701247
5814,0,0,29.0,0.0,1718394.0,5527679.0,1357341.0,0.0,8500000.0,1.216635294117647,1.0,0.6491227589390857
5818,1,0,32.0,0.0,43536.0,10037.0,50302.0,0.0,100000.0,3.875,1.0,0.6398318027021963
5819,1,0,36.0,0.0,582784.0,200948.0,351070.0,0.0,1100000.0,3.1638181818181814,1.0,0.6362172676431362
5820,0,0,34.0,0.0,0.0,0.0,10066816.0,0.0,10000000.0,0.66816,1.0,0.6873704973565787
